Port_ID,total_trades,profitable_trades,net_profit,total_capital,return_on_investment,profitability_rate,sharpe_ratio,max_drawdown,ranking_score
4029507714735307777,53,2,1537.89995998,44938.91496,0.03422200917287122,0.03773584905660377,0.19772659138123208,0.0,0.06455487666237604
4029506971304830209,52,3,2413.6540000200002,79154.03182,0.03049312769700428,0.057692307692307696,0.24729664007230662,0.15850168875146048,0.0631141025258093
4030708912786799105,60,2,1612.84376999,50385.28877,0.03201021189641978,0.03333333333333333,0.1856950494719675,0.0,0.05994309465296141
4031408429897920512,82,4,1351.26659997,44266.8266,0.03052549061581026,0.04878048780487805,0.1588018790115339,0.0,0.0586047183900943
4040382575336130560,76,0,0.0,19559.4294,0.0,0.0,,0.0,0.0
4031173908980084736,225,85,5360.42572991,918898.66851,0.005833533025575022,0.37777777777777777,0.29629603573931723,1.752269258033903,-0.00030097211196353224
3939318616482048768,315,118,9775.38910984,961879.58273,0.010162799258193586,0.3746031746031746,0.2041537721814564,1.9028925882209329,-0.03301243230157222
3886752488982104320,1249,931,7195.17832464,799961.5870758,0.008994404782536419,0.745396317053643,0.22180239743895744,3.0570947252690073,-0.03413233601000182
4030565764341697025,105,51,2789.87828996,320313.77616,0.008709829228719865,0.4857142857142857,0.33449581686504687,3.2147921671973387,-0.10538183594095085
3826087012661391104,108,63,532.65697373,4373.7423342,0.1217851745780603,0.5833333333333334,0.6782487615314688,5.034773356147659,-0.144113513477248
4031181049693676544,302,73,4545.2423384,589354.57681,0.007712237279978443,0.24172185430463577,0.21480992710108227,2.91788804868914,-0.17322536824531545
4028701921959171840,687,373,17601.40139824,4330195.885,0.004064804887744703,0.5429403202328966,0.27592477007111127,4.517672012232405,-0.2320742291840514
3925368433214965504,1458,486,6789.43673863,1809054.44027,0.003753030637163513,0.3333333333333333,0.2749677160828388,4.033723531141066,-0.24687759764267353
3975304792994095360,2438,1040,2536.0810463,661726.3301783,0.003832522495540809,0.4265791632485644,0.26261886999084993,4.849547326839304,-0.3029242007129749
3999240873283311617,4522,2366,42574.47367879,7830890.6646335,0.005436734530219949,0.5232198142414861,0.2275304938689689,5.2816340027781,-0.3235166634194825
4008711265867865600,394,166,11298.706389769999,3665550.82839,0.003082403414586579,0.4213197969543147,0.26662816786240856,5.269760629005356,-0.3460215288759249
4002413037164645377,576,107,3686.9697606,147941.6922854,0.024921776300134008,0.1857638888888889,0.1258918557290863,4.657218257675648,-0.37484557743502733
4030395639953224449,492,86,4413.76154738,931859.12887,0.004736511572014385,0.17479674796747968,0.1680083258176146,4.7883387512912545,-0.3908985809465529
3998572645139652353,266,95,9603.58535988,2051910.5785,0.0046803137819487585,0.35714285714285715,0.26278528467895684,8.12090557678859,-0.6505185180874311
4028427053699127040,121,36,2633.02381341,297328.34026,0.008855609966771217,0.2975206611570248,0.2653700123012813,9.29899343197585,-0.7840268984035128
4022565861939831809,705,372,14197.57707589,6091302.34414,0.002330795004708387,0.5276595744680851,0.2998150780203652,10.8959967915458,-0.8704064732081982
4030635536196756737,1294,679,2581.61417484,934528.9719205,0.0027624763409257007,0.5247295208655333,0.09053422037010897,13.958217442990467,-1.2191910534289947
4030626027667524352,233,116,3796.34803991,2411256.53556,0.001574427268075116,0.4978540772532189,0.21089897277006753,15.339556871445033,-1.3417898985072942
4031673021422897664,229,72,1984.71719999,405713.00792,0.004891923998604831,0.314410480349345,0.26913392985576245,15.217979334809604,-1.3716912338055625
3994879592543698688,653,361,3658.7650624,441694.976713,0.00828346541232538,0.552833078101072,0.11947511501965855,15.688277533437603,-1.375769420744577
4037121179310444801,1595,772,7237.92173826,5580378.82866,0.0012970305351111837,0.48401253918495296,0.10913589517710237,15.655189161076816,-1.397969163102731
4021669203289716224,1682,528,26427.33159178,6534632.169107,0.004044195741684947,0.31391200951248516,0.06827103998972076,16.15684406577153,-1.5062389174287896
3784403294629753856,6050,1829,2521.81430468,742106.0000249,0.003398186114376363,0.3023140495867769,0.10659387579453405,17.726106940093374,-1.6592384295286469
3993014919980212480,695,331,3078.66301039,664469.8844896,0.004633261916384393,0.4762589928057554,0.14105385825229638,22.46844755192185,-2.0739029809334455
3788465932399412480,3069,1369,13960.96645667,1668362.82802,0.008368063722229275,0.44607363962202673,0.1529370672427205,22.426255689214027,-2.074868838097359
3907081197088384000,4137,2540,18015.99737026,1638947.5950495,0.010992418198530548,0.6139714769156394,0.22275621665194298,24.29079623917803,-2.1959399702333102
3910983669796782848,640,274,6761.64804825,942371.130466,0.007175143454263485,0.428125,0.3312977894466175,24.108051153916243,-2.2132380001205956
3956076827719377409,3916,2019,16790.01223802,1626576.9243934,0.010322298310165384,0.5155771195097038,0.0995407277567515,24.61429331884755,-2.2827191311564277
3999845462424248576,3318,1443,5843.15260681,669343.4627509,0.008729677560150554,0.4349005424954792,0.22596871531776436,27.05228715468945,-2.526072938632688
3939925275039085824,5928,2148,2378.8786707,362808.6209331,0.006556841633425939,0.3623481781376518,0.22597234197528138,27.892399646954274,-2.632718306205706
3949329502284748801,384,72,425.96505788999997,51772.5354111,0.008227625989486953,0.1875,0.13624890654518013,27.61719610517957,-2.6749287788131264
3878631538480067329,2811,1415,3921.23304116,955332.7919834,0.004104572850492225,0.5033795802205621,0.15609412426074676,29.038579148507736,-2.7199833867922587
4034359562055356161,799,391,5284.65441593,2581456.655827,0.002047159848297743,0.48936170212765956,0.15751727053686077,30.136415663284577,-2.8345107376434684
3953764659057081857,583,180,6048.86608919,1629660.03653,0.003711734934649143,0.30874785591766724,0.12413745513685048,29.57804453585449,-2.8388679118089195
4031414524297538817,244,90,2726.79561774,205000.569198,0.013301405105399107,0.36885245901639346,0.298889741077278,31.456261296578663,-2.9698718816953336
3996598927198996481,2661,980,3509.04461888,328154.9573647,0.010693254939861141,0.368282600526118,0.11342250011387166,31.080196506806402,-2.9705730685240863
